4/21/2026,Microsoft 365 Enterprise,,,,BCA,,
Feature,E3,E5 Security,E5 Compliance,E5,Currently In-Use,Want next,Notes
Office 365,E3,,,E5,,,
Activity Reports,?,,,?,?,,
Adoption Score,?,,,?,?,,
Alert Policies,?,,,?,,,Defaults are present
Audit (premium),,,?,?,,,
Audit (standard),?,,,?,,,
Basic Mobility & Security,?,,,?,?,,
Bookings,?,,,?,,,
Clipchamp Standard,?,,,?,,,
Communication Compliance,,,?,?,,,
Compliance Manager,?,,,?,,?,I'd like to see us start working towards using the compliance features more - JD
Conditional Access for Sites,,,?,?,?,,
Content Search,?,,,?,,?,I'd like to see us start working towards using the compliance features more 
Copilot Data Loss Prevention,,,?,?,,?,Especially as Copilot interest ramps up - DSPM for Copilot along with DLP should be added to the roadmap
Copilot Studio Lite,?,,,?,?,,
Customer Key,,,?,?,,,
Customer Lockbox,,,?,?,,,
Data Lifecycle Management,,,?,?,,?,I'd like to see us start working towards using the compliance features more
Data Loss Prevention,?,,,?,,?,I'd like to see us start working towards using the compliance features more 
Dataverse for Teams,?,,,?,,,
Defender for Office 365 Plan 2,,?,,?,,,
 > Attack Simulation Training,,?,,?,,,Beauceron covers this now
 > Automated Investigation & Response,,?,,?,?,,"I believe this is in use, but may need more awareness and training"
 > Campaign Views,,?,,?,?,,
 > Compromised User Detection,,?,,?,,,
 > Teams Message Entity Panel,,?,,?,,,
 > Teams Message Quarantine,,?,,?,,,
 > Threat Explorer,,?,,?,,,
 > Threat Trackers,,?,,?,,,
 > Defender for Office 365 Plan 1,?,?,,?,,,
 > > Advanced Anti-Phishing,?,?,,?,?,,
 > > Real-Time Reports,?,?,,?,?,,
 > > Safe Attachments,?,?,,?,?,,
 > > Safe Links,?,?,,?,?,,
Double Key Encryption,,,?,?,,,
eDiscovery (premium),,,?,?,?,,
eDiscovery (standard),?,,,?,?,,
Education Insights,,,,,,,
Exact Data Match,,,?,?,,,
Exchange Online,Plan 2(100 GB),,,Plan 2(100 GB),?,,
Exchange Online Archiving,1.5 TB,,,1.5 TB,?,,
Exchange Online Protection,?,?,,?,?,,"This is supplemented by Microsoft Defender for Office (MDO) to provide additional functionality, but EOP covers a lot of our basic email security (anti-spam, etc)"
Graph Connector Capacity,?,,,?,?,,
InfoPath App,?,,,?,,,
Information Barriers,,,?,?,,,
Information Protection for M365,?,,,?,,,
Message Encryption (advanced),,,?,?,,,
Message Encryption (basic),?,,,?,,,
Microsoft 365 Apps,Enterprise,,,Enterprise,?,,
Microsoft 365 Copilot Chat,?,,,?,?,,
Microsoft 365 Mobile App,?,,,?,?,,
Microsoft Forms,?,,,?,,,
Microsoft Lists,?,,,?,,,available but not actively used
Microsoft Places (core),?,,,?,?,,in pilot phases
Microsoft Search,?,,,?,,,
Microsoft Teams,Optional,,,Optional,?,,
Microsoft To Do,?,,,?,?,,
Microsoft Whiteboard,?,,,?,?,,
Office 365 Cloud App Security,,,,?,,?,This would be good to start looking into as well
Office for the Web,?,,,?,?,,
OneDrive for Business,Plan 2(1 TB+),,,Plan 2(1 TB+),?,,
OneNote Class Notebook,,,,,,,
Planner for Office 365,?,,,?,?,,
PLC Groups,,,,,,,
Power Apps for Office 365,?,,,?,,,
Power Automate for Office 365,?,,,?,?,,Used seldom
Power BI Pro,,,,?,?,,
Privileged Access Management,,,?,?,,?,This would be good to start looking into as well
Productivity Server CAL,?,,,?,,,
Project & Roadmap View Access,?,,,?,,,
Records Management,,,?,?,,,
Retention Labels,?,,,?,,?,This would be good to start looking into as well - especially as we start moving more into SharePoint
Retention Policies,?,,,?,,?,This would be good to start looking into as well
Rules-Based Classification (Office 365),,,?,?,,,
Safe Links Lite,,,,,,,
School Data Sync,,,,,,,
Secure Score,?,,,?,?,,
SharePoint Online,Plan 2,,,Plan 2,?,,
Skype for Business Plus CAL,,,,?,,,
Sway,?,,,?,,,
Teams Audio Conferencing (full),,,,?,,,
Teams Data Loss Prevention,,,?,?,,,
Teams DLP & Export Graph API,,,?,?,,,
Teams Live Events,?,,,?,,,
Teams Phone,,,,?,?,,
Teams Town Halls,?,,,?,,,
Teams Webinars,?,,,?,,,
Visio for the Web,?,,,?,?,,
Viva Connections,?,,,?,,,
Viva Engage,?,,,?,,,
Viva Insights - Personal,Basic,,,Premium,,,
Viva Learning (basic),?,,,?,,,
3x Premium & Custom Compliance Templates,,,?,?,,,
Enterprise Mobility + Security,E3,,,E5,,,
Active Directory RMS,?,,,?,,,
App Governance,,?,?,?,,?,"Yes, but further down the line"
Azure RMS,?,,,?,,,
Config Manager Endpoint Protection,?,,,?,,,
Defender for Cloud Apps,,?,?,?,?,,
Defender for Identity,,?,,?,?,,
Entra ID Plan 2,,?,,?,,,
 > Access Reviews,,?,,?,,?,"Yes, but further down the line"
 > Entitlement Management (basic),,?,,?,,?,"Yes, but further down the line"
 > Entra ID Protection,,?,,?,?,,
 > MFA Registration Policy,,?,,?,?,,
 > Privileged Identity Management,,?,,?,?,,
 > Risk-Based Conditional Access,,?,,?,?,,
 > Entra ID Plan 1,?,,,?,,,
 > > Administrative Units,?,,,?,,,
" > > App Proxy, including PingAccess",?,,,?,,,
 > > Cloud App Discovery,?,,,?,,,
 > > Conditional Access,?,,,?,?,,
 > > Custom Security Attributes,?,,,?,,,
 > > Entra ID Connect Health,?,,,?,?,,
 > > Entra Internet Access for Microsoft,?,,,?,,,
 > > External ID,?,,,?,?,,
 > > Microsoft Identity Manager,?,,,?,,,
 > > Password Protection,?,,,?,,,
 > > Self-Service Group Management,?,,,?,,,
 > > Service Level Agreement,?,,,?,,,
 > > Shared Account Password Roll-Over,?,,,?,,,
 > > SMS Sign-In,?,,,?,,,Is this SMS as MFA? If so then this is in use
 > > Tenant Restrictions,?,,,?,?,,Used to control access granted to External Identities (B2B Collab)
 > > Terms of Use,?,,,?,,,Part of conditional access
 > > 3rd Party MFA Integration,?,,,?,,?,Made available March 2026 but did not see in our tenant yet. Might be worth reviewing if it has a place in our env.
 > > Entra ID for Education,,,,,,,
 > > > Advanced Security Reports & Alerts,?,,,?,,,
 > > > Dynamic Groups,?,,,?,?,,
 > > > Enterprise State Roaming,?,,,?,?,,Moving to Windows Backup for Organizations in May.
 > > > Self-Service Password Reset in AD,?,,,?,?,,
 > > > Windows Autopilot,?,,,?,?,,
 > > > Entra ID for Office 365,?,,,?,?,,
 > > > > Customized Sign-In Page,?,,,?,?,,
 > > > > Self-Service Activity Reports,?,,,?,,,
 > > > > Entra ID Free,?,,,?,,,
 > > > > > Basic Security & Usage Reports,?,,,?,,,
 > > > > > Multi-Factor Auth (MFA),?,,,?,?,,
 > > > > > Passwordless Authentication,?,,,?,?,,
 > > > > > Single-Sign-On to other SaaS,?,,,?,?,,
 > > > > > Temporary Access Pass,?,,,?,?,,
 > > > > > Verified ID,?,,,?,,,
Information Protection,?,,,?,,,
Intune Advanced Analytics,?,,,?,,,
Intune Cloud PKI,,,,?,,,Might be worth considering moving all our cloud certs (Intune devices) to cloud PKI - simplify the on-prem infrastructure to servers only
Intune Endpoint Privilege Management,,,,?,,?,Duplicate
Intune Enterprise App Management,,,,?,,?,Duplicate
Intune Plan 1,?,,,?,,,
 > Application Management,?,,,?,?,,
 > Config Manager,?,,,?,?,,
 > Device Management,?,,,?,?,,
 > Endpoint Analytics,?,,,?,?,,
Intune Plan 2,?,,,?,,,Intune suite features are moving into E5 July-August 2026. https://www.microsoft.com/en-us/security/business/microsoft-intune-pricing
 > Firmware Over-the-Air Updates,?,,,?,,,
 > Specialty Device Management,?,,,?,,,
 > Tunnel for MAM,?,,,?,,,
Intune Remote Help,,,,?,,?,Not currently available in E5. Allows for secure role based remote support for windows and android
Intune Endpoint Privilege Management,,,,?,,?,Not currently available in E5. Allows the use of an elevated account for approved tasks to align with zero trust principles.
